n      thesy        hipster
   0        0.00             0.00
   1        0.00             5.99
   2        0.00            12.53
   3        0.01            19.42
   4        0.01            27.59
   5        0.02            78.08
   6        0.02           145.22
   7        0.03           213.34
   8        0.04           292.07
   9        0.05           379.55
  10        0.06           479.85
  11        0.08           581.56
  12        0.12           684.05
  13        0.15           786.62
  14        0.20           893.69
  15        0.24          1002.92
  16        0.30          1129.09
  17        0.36          1265.38
  18        0.43          1428.72
  19        0.51          1601.51
  20        0.59          1774.90
  21        0.68          1955.12
  22        0.79          2137.58
  23        0.89          2339.23
  24        1.00          2552.55
  25        1.11          2769.64
  26        1.22          3019.57
  27        1.33          3276.07
  28        1.46          3534.75
  29        1.59          3794.66
  30        1.76          4059.09
  31        1.94          4333.85
  32        2.12          4609.14
  33        2.30          4884.72
  34        2.50          5164.14
  35        2.70          5452.45
  36        2.92          5741.95
  37        3.14          6031.93
  38        3.36          6323.05
  39        3.61          6616.25
  40        3.86          6914.75
  41        4.12          7213.28
  42        4.38          7516.76
  43        4.63          7822.13
  44        4.89          8132.19
  45        5.16          8445.01
  46        5.46          8760.63
  47        5.77          9084.16
  48        6.13          9408.35
  49        6.52          9750.91
  50        6.93         10129.91
  51        7.37         10577.34
  52        7.83         11071.21
  53        8.30         11596.68
  54        8.77         12147.11
  55        9.25         12721.38
  56        9.94         13312.83
  57       10.67         13978.74
  58       11.46         14648.07
  59       12.32         15349.15
  60       13.36         16079.39
  61       14.48         16867.15
  62       15.61         17694.00
  63       16.77         18531.31
  64       17.94         19415.11
  65       19.11         20301.50
  66       22.07         21191.67
  67       25.29         22225.98
  68       30.39         23261.59
  69       35.53         24305.80
  70       41.32         25370.33
  71       48.60         26452.93
  72       57.11         27567.48
  73       95.13         28726.37
  74      133.34         29898.11
  75      171.71         31091.06
  76      210.17         32337.77
  77      249.26         33587.77
  78      289.49         34876.32
  79      613.89         36237.37
  80      995.91         37644.25
  81     2954.84         39068.34
  82     6554.84         40530.83
  83    10154.84         42138.94
  84    13754.84         44536.68
  85    17354.84         47127.38
