n      thesy        hipster
   0        0.00             0.00
   1        0.00             5.99
   2        0.01            12.53
   3        0.02            19.42
   4        0.03            27.59
   5        0.09            78.08
   6        0.20           145.22
   7        0.32           213.34
   8        0.45           292.07
   9        0.58           379.55
  10        0.71           479.85
  11        0.85           581.56
  12        1.01           684.05
  13        1.18           786.62
  14        1.39           893.69
  15        1.61          1002.92
  16        1.85          1129.09
  17        2.12          1265.38
  18        2.39          1428.72
  19        2.73          1601.51
  20        3.07          1774.90
  21        3.52          1955.12
  22        4.00          2137.58
  23        4.49          2339.23
  24        4.98          2552.55
  25        5.47          2769.64
  26        5.97          3019.57
  27        6.47          3276.07
  28        6.97          3534.75
  29        7.53          3794.66
  30        8.23          4059.09
  31        9.26          4333.85
  32       11.14          4609.14
  33       13.08          4884.72
  34       15.04          5164.14
  35       17.02          5452.45
  36       19.59          5741.95
  37       22.26          6031.93
  38       24.97          6323.05
  39       27.83          6616.25
  40       31.31          6914.75
  41       35.99          7213.28
  42       40.72          7516.76
  43       46.01          7822.13
  44       52.80          8132.19
  45       60.21          8445.01
  46       68.07          8760.63
  47       80.92          9084.16
  48       94.50          9408.35
  49      111.06          9750.91
  50      129.50         10129.91
  51      147.94         10577.34
  52      174.55         11071.21
  53      204.17         11596.68
  54      239.17         12147.11
  55      279.10         12721.38
  56      325.20         13312.83
  57      373.10         13978.74
  58      441.92         14648.07
  59      522.37         15349.15
  60      615.59         16079.39
  61      719.73         16867.15
  62      847.76         17694.00
  63      976.65         18531.31
  64     1117.89         19415.11
  65     1309.10         20301.50
  66     1728.80         21191.67
  67     2215.67         22225.98
  68     2720.85         23261.59
  69     3394.09         24305.80
  70     4526.55         25370.33
  71     5675.57         26452.93
  72     6854.78         27567.48
  73     8414.66         28726.37
  74    12014.66         29898.11
  75    15614.66         31091.06
  76    19214.66         32337.77
  77    22814.66         33587.77
  78    26414.66         34876.32
  79    30014.66         36237.37
  80    33614.66         37644.25
  81    37214.66         39068.34
  82    40814.66         40530.83
  83    44414.66         42138.94
  84    48014.66         44536.68
  85    51614.66         47127.38
