h<t      t<h
0.55556   0.33333
0.33333   0.14286
0.50000   0.14286
0.27273   0.41176
0.27273   0.41176
0.18182   0.41176
0.18182   0.41176
0.80000   1.00000
1.00000   1.00000
1.00000   0.00000
1.00000   1.00000
1.00000   0.66667
0.28571   0.66667
1.00000   0.50000
0.62500   0.25000
0.33333   0.25000
0.50000   0.66667
0.42857   1.00000
0.91667   0.45000
0.40000   1.00000
0.40000   1.12500
0.40000   0.55000
0.40000   0.55000
1.00000   0.00000
1.00000   0.00000
1.00000   0.00000
0.33333   0.14286
0.37500   0.16667
0.50000   1.16667
0.50000   1.16667
0.37500   0.50000
0.37500   0.50000
1.00000   1.00000
1.00000   1.00000
0.28571   0.28571
0.00000   0.00000
0.80000   0.57143
1.00000   1.00000
0.00000   0.00000
1.00000   1.00000
1.00000   0.66667
1.00000   0.00000
1.00000   1.00000
0.42857   1.11111
1.00000   0.00000
1.00000   0.00000
0.36364   0.50000
1.00000   0.00000
0.00000   0.00000
0.50000   0.25000
0.90909   0.64706
0.57143   0.50000
0.80000   0.80000
0.50000   0.50000
1.00000   0.00000
1.00000   0.00000
1.00000   0.00000
0.50000   0.11429
1.00000   0.00000
0.33333   0.11111
1.00000   0.00000
0.75000   0.45000
0.60000   0.66667
0.50000   0.75000
0.40000   0.25000
0.91667   0.45000
0.60000   1.00000
0.37500   0.16667
0.41667   0.60000
1.00000   0.33333
0.09091   0.26667
0.80000   0.57143
0.60000   0.30000
0.00000   0.00000
0.16667   0.00000
0.60000   0.75000
0.11111   0.25000
0.66667   0.53846
0.00000   0.00000
0.50000   0.15789
0.50000   0.15789
0.33333   0.15385
0.37500   0.16667
