h<t      t<h
1.00000   0.25000
0.81818   0.40000
0.55556   0.31579
0.33333   0.12500
0.50000   0.12500
0.27273   0.54545
0.27273   0.48000
0.18182   0.41667
0.18182   0.30435
1.00000   0.57143
1.00000   0.20000
1.00000   0.00000
1.00000   0.20000
1.00000   0.66667
0.28571   0.66667
1.00000   0.50000
0.62500   0.21429
0.33333   0.20000
1.00000   0.40000
0.42857   1.00000
0.91667   0.53846
0.80000   1.00000
1.20000   0.91667
0.66667   0.42105
0.66667   0.53571
1.00000   0.00000
1.00000   0.00000
1.00000   0.00000
0.33333   0.10000
0.37500   0.14286
0.75000   1.09091
1.00000   1.09091
0.62500   0.57576
0.62500   0.54839
1.00000   1.00000
1.00000   1.00000
0.28571   0.25000
0.00000   0.00000
0.40000   0.52941
2.00000   0.60000
0.00000   0.00000
2.00000   0.60000
1.00000   0.66667
1.00000   0.00000
1.00000   1.00000
1.00000   1.07143
1.00000   0.00000
1.00000   0.00000
0.63636   0.44444
1.00000   0.00000
0.00000   0.00000
0.50000   0.20000
0.90909   0.66667
0.85714   0.38889
1.00000   0.87500
0.83333   0.29412
1.00000   0.00000
1.00000   0.00000
1.00000   0.00000
0.50000   0.05714
1.00000   0.00000
0.33333   0.07692
1.00000   0.00000
0.75000   0.43478
0.60000   0.66667
0.66667   0.42857
0.40000   0.18750
0.83333   0.37500
0.60000   1.00000
0.37500   0.13333
0.66667   0.40000
1.00000   0.33333
0.18182   0.27273
0.80000   0.48000
0.60000   0.23077
0.80000   0.42857
0.11111   0.30000
1.00000   0.57895
1.00000   0.11765
0.33333   0.15385
0.37500   0.14286
0.00000   0.00000
0.16667   0.00000
0.75000   0.12500
0.50000   0.12121
